x, y, cal_s11, acc_s11, s11_error,, cal_s22, acc_s22, s22_error, cal_s12, acc_s12, s12_error,,0,3761
3.268358,0.308138,-7.991287,-7.889742,-1.287041,1.287041,-0.207788,-0.287172,27.643582,0.484785,0.380015,27.569748,,,
3.231724,0.415026,-7.991287,-7.927351,-0.806517,0.806517,-0.207788,-0.249882,16.845821,0.484785,0.514502,-5.775854,,,
3.166664,0.336736,-7.991287,-7.788045,-2.609666,2.609666,-0.207788,-0.283895,26.808217,0.484785,0.449178,7.927185,,,
1.271176,3.324398,-10.916623,-10.805699,-1.026533,1.026533,-0.276662,-0.370343,25.295806,-0.405567,-0.428393,5.328216,,,
1.368635,3.450836,-10.916623,-10.753464,-1.517266,1.517266,-0.276662,-0.303264,8.771925,-0.405567,-0.396785,-2.213349,,,
1.253127,3.446085,-10.916623,-10.739507,-1.649198,1.649198,-0.276662,-0.400507,30.921998,-0.405567,-0.411721,1.494759,,,
3.251281,3.768556,-10.632542,-10.451684,-1.730415,1.730415,0.434898,0.333345,30.464788,0.088592,0.089681,-1.214801,,,
3.140474,3.656211,-10.632542,-10.481769,-1.438427,1.438427,0.434898,0.35186,23.599824,0.088592,0.092641,-4.370582,,,
3.347539,3.605548,-10.632542,-10.42919,-1.949836,1.949836,0.434898,0.367955,18.193414,0.088592,0.14871,-40.426431,,,
0.660324,1.863272,-13.041116,-12.655551,-3.046603,3.046603,-0.979252,-1.320294,25.830757,-0.695685,-0.736895,5.592434,,,
0.704234,1.824517,-13.041116,-12.750295,-2.280897,2.280897,-0.979252,-1.122679,12.77537,-0.695685,-0.703333,1.087369,,,
0.717147,1.908991,-13.041116,-12.51042,-4.242031,4.242031,-0.979252,-1.109372,11.729146,-0.695685,-0.732014,4.962888,,,
1.490423,0.478476,-3.840457,-4.511988,14.883274,14.883274,1.109158,1.149007,-3.468168,2.566447,2.686052,-4.452807,,,
1.456619,0.426959,-3.840457,-3.888094,1.225221,1.225221,1.109158,1.194942,-7.178921,2.566447,2.548075,0.721004,,,
1.501656,0.40417,-3.840457,-3.856284,0.410431,0.410431,1.109158,1.009205,9.904059,2.566447,2.401152,6.883991,,,
2.620061,2.171613,-10.646109,-10.459564,-1.783492,1.783492,0.885861,0.780018,13.56928,0.723435,0.698361,3.590459,,,
2.714469,2.191025,-10.646109,-10.396214,-2.403718,2.403718,0.885861,0.743013,19.225541,0.723435,0.698836,3.520016,,,
2.608517,2.272164,-10.646109,-10.531432,-1.088908,1.088908,0.885861,0.760692,16.454587,0.723435,0.612491,18.113602,,,
4.978948,2.284244,-9.989305,-9.721191,-2.758039,2.758039,0.202618,0.155905,29.962748,0.438719,0.439351,-0.143707,,,
4.86241,2.421064,-9.989305,-9.781617,-2.123253,2.123253,0.202618,0.190142,6.561275,0.438719,0.444658,-1.335526,,,
4.713247,3.497889,-10.281905,-10.104911,-1.751568,1.751568,0.310102,0.273085,13.554951,0.297256,0.292871,1.497358,,,
4.826096,3.624728,-10.281905,-10.107564,-1.724852,1.724852,0.310102,0.260564,19.011772,0.297256,0.2727,9.004586,,,
4.69117,3.686317,-10.281905,-10.139336,-1.406095,1.406095,0.310102,0.272211,13.919545,0.297256,0.260146,14.264962,,,
3.715311,3.673333,-10.517877,-10.339878,-1.721486,1.721486,0.416376,0.348203,19.578483,0.176756,0.191026,-7.470168,,,
3.602102,3.793059,-10.517877,-10.371882,-1.407607,1.407607,0.416376,0.334159,24.60398,0.176756,0.146881,20.33938,,,
3.53267,3.613873,-10.517877,-10.381514,-1.313523,1.313523,0.416376,0.36372,14.47693,0.176756,0.178978,-1.241287,,,
3.721405,2.435511,-10.242509,-10.014001,-2.281893,2.281893,0.541289,0.418689,29.281838,0.622728,0.574379,8.417467,,,
3.599278,2.540267,-10.242509,-10.109788,-1.3128,1.3128,0.541289,0.455024,18.958372,0.622728,0.542886,14.706782,,,
3.608649,2.37014,-10.242509,-10.017931,-2.24176,2.24176,0.541289,0.444172,21.864837,0.622728,0.605854,2.785073,,,
3.368168,3.248918,-10.547179,-10.399562,-1.419463,1.419463,0.48592,0.432467,12.3601,0.247629,0.258794,-4.314126,,,
3.536472,3.276097,-10.547179,-10.348572,-1.919175,1.919175,0.48592,0.414261,17.298273,0.247629,0.275793,-10.211928,,,
3.450116,3.425598,-10.547179,-10.391636,-1.496813,1.496813,0.48592,0.39767,22.191852,0.247629,0.217169,14.025904,,,
4.592359,3.434835,-10.30206,-10.115009,-1.849237,1.849237,0.348237,0.286821,21.412483,0.320499,0.303133,5.728732,,,
4.453824,3.559655,-10.30206,-10.163203,-1.366266,1.366266,0.348237,0.298815,16.539016,0.320499,0.2762,16.038765,,,
4.459,3.436116,-10.30206,-10.14095,-1.5887,1.5887,0.348237,0.301786,15.391924,0.320499,0.300735,6.571932,,,
0.014641,1.135281,-21.240336,-22.899961,7.24728,7.24728,-3.34086,-2.609843,-28.01001,-0.166319,0.165467,-200.515302,,,
